Test Name,pheno,contrast,estimate,SE,df,t.ratio,p.value
Jay Test 1,Protein Meal,N18-1641 - Checks,2.216701062157632,0.37755775999392555,56.999999999999595,5.871157467915097,3.971414233694404e-6
Jay Test 1,Protein Meal,N18-1674 - Checks,4.297330562487045,0.3775577599939256,56.999999999999595,11.381915610888738,3.774758283725532e-15
Jay Test 1,Protein Meal,N18-1682 - Checks,3.957921781573675,0.37755775999392555,56.999999999999595,10.482957049107807,1.0946799022804043e-13
Jay Test 1,Protein Meal,N18-1731 - Checks,4.941782889269824,0.37755775999392555,56.99999999999939,13.088812925866844,0
Jay Test 1,Protein Meal,N18-1751 - Checks,3.4212555505866025,0.37755775999392555,56.999999999999595,9.06154213501438,2.0827228830455624e-11
Jay Test 1,Protein Meal,N18-1763 - Checks,6.393360372080496,0.3775577599939255,56.999999999999595,16.93346303406228,0
Jay Test 1,Protein Meal,N18-1855 - Checks,6.645069486632062,0.37755775999392555,56.99999999999939,17.60014013945568,0
Jay Test 1,Protein Meal,N18-1956 - Checks,3.7051180598243048,0.37755775999392555,56.999999999999595,9.813380765591775,1.2683187833317788e-12
Jay Test 2,Maturity Date,N09-09 - Checks,2.1821525771371064,1.1000044810715903,56.20694081525755,1.9837669888501916,0.5757144425772516
Jay Test 2,Maturity Date,N18-1575 - Checks,1.620031909179862,1.1342698595703251,60.97971929201851,1.4282596822184355,0.9365605367381068
Jay Test 2,Maturity Date,N18-1577 - Checks,1.4122879025072455,1.1000044810715903,56.20694081525715,1.2838928629921929,0.9742541884957399
Jay Test 2,Maturity Date,N18-1579 - Checks,0.23805930385213198,1.1000044810715905,56.206940815256544,0.21641666733959294,0.9999999999994874
Jay Test 2,Maturity Date,N18-1586 - Checks,0.9778635881675988,1.1000044810715903,56.206940815255734,0.8889632769631941,0.9994956290694207
Jay Test 2,Maturity Date,N18-1615 - Checks,1.0423857603495115,1.10000448107159,56.20694081525614,0.9476195581803919,0.9989171467042202
Jay Test 2,Maturity Date,N18-1627 - Checks,0.15419921377958296,1.1000044810715905,56.20694081525715,0.14018053238234704,0.9999999999999994
